caminho,esperado
test/0/3.png,0
test/0/10.png,0
test/0/13.png,0
test/0/25.png,0
test/0/28.png,0
test/0/55.png,0
test/0/69.png,0
test/0/71.png,0
test/0/101.png,0
test/0/126.png,0
test/1/2.png,1
test/1/5.png,1
test/1/14.png,1
test/1/29.png,1
test/1/31.png,1
test/1/37.png,1
test/1/39.png,1
test/1/40.png,1
test/1/46.png,1
test/1/57.png,1
test/2/1.png,2
test/2/35.png,2
test/2/38.png,2
test/2/43.png,2
test/2/47.png,2
test/2/72.png,2
test/2/77.png,2
test/2/82.png,2
test/2/106.png,2
test/2/119.png,2
test/3/18.png,3
test/3/30.png,3
test/3/32.png,3
test/3/44.png,3
test/3/51.png,3
test/3/63.png,3
test/3/68.png,3
test/3/76.png,3
test/3/87.png,3
test/3/90.png,3
test/4/4.png,4
test/4/6.png,4
test/4/19.png,4
test/4/24.png,4
test/4/27.png,4
test/4/33.png,4
test/4/42.png,4
test/4/48.png,4
test/4/49.png,4
test/4/56.png,4
test/5/8.png,5
test/5/15.png,5
test/5/23.png,5
test/5/45.png,5
test/5/52.png,5
test/5/53.png,5
test/5/59.png,5
test/5/102.png,5
test/5/120.png,5
test/5/127.png,5
test/6/11.png,6
test/6/21.png,6
test/6/22.png,6
test/6/50.png,6
test/6/54.png,6
test/6/66.png,6
test/6/81.png,6
test/6/88.png,6
test/6/91.png,6
test/6/98.png,6
test/7/0.png,7
test/7/17.png,7
test/7/26.png,7
test/7/34.png,7
test/7/36.png,7
test/7/41.png,7
test/7/60.png,7
test/7/64.png,7
test/7/70.png,7
test/7/75.png,7
test/8/61.png,8
test/8/84.png,8
test/8/110.png,8
test/8/128.png,8
test/8/134.png,8
test/8/146.png,8
test/8/177.png,8
test/8/179.png,8
test/8/181.png,8
test/8/184.png,8
test/9/7.png,9
test/9/9.png,9
test/9/12.png,9
test/9/16.png,9
test/9/20.png,9
test/9/58.png,9
test/9/62.png,9
test/9/73.png,9
test/9/78.png,9
test/9/92.png,9
